ID,eta,Sesso,alloggio_pendolare,tempo_libero,pranzo,studiare,fuori
199,19,Maschio,Alloggio a Perugia,"Giocare ai Videgames, Praticare Sport, Uscire, Guardare serie TV, film o anime",,,
141,19,Maschio,Alloggio a Perugia,"Programmare, Giocare ai Videgames, Uscire, Guardare serie TV, film o anime",,,
87,20,Maschio,Faccio il pendolare,Praticare Sport,178,1-2,203
101,19,Maschio,Alloggio a Perugia,"Programmare, Giocare ai Videgames, Guardare serie TV, film o anime, Disegnare",203,203,203
210,21,Maschio,Alloggio a Perugia,"Programmare, Praticare Sport, Uscire, Leggere libri, Leggere fumetti",,,
144,19,Femmina,Faccio il pendolare,"Programmare, Giocare ai Videgames, Praticare Sport, Leggere libri, Guardare serie TV, film o anime",107,107,107
192,19,Maschio,Alloggio a Perugia,"Giocare ai Videgames, Praticare Sport, Guardare serie TV, film o anime",129,129,129
203,19,Maschio,Alloggio a Perugia,"Programmare, Giocare ai Videgames, Guardare serie TV, film o anime",101,101,101
197,18,Maschio,Alloggio a Perugia,"Programmare, Uscire",200,200,200
161,19,Maschio,Alloggio a Perugia,"Programmare, Giocare ai Videgames, Leggere fumetti, Guardare serie TV, film o anime",Nessuno,Nessuno,Nessuno
201,19,Maschio,Faccio il pendolare,"Programmare, Giocare ai Videgames, Uscire, Leggere fumetti, Guardare serie TV, film o anime",205,205,205
129,19,Maschio,Alloggio a Perugia,"Uscire, Guardare serie TV, film o anime",192,192,192
72,19,Maschio,Faccio il pendolare,"Programmare, Giocare ai Videgames, Leggere fumetti, Guardare serie TV, film o anime",,,
69,21,Maschio,Faccio il pendolare,"Programmare, Giocare ai Videgames, Praticare Sport, Uscire, Leggere libri, Leggere fumetti, Guardare serie TV, film o anime",,,
134,19,Maschio,Alloggio a Perugia,"Giocare ai Videgames, Uscire, Leggere fumetti, Guardare serie TV, film o anime",0,0,0
136,19,Maschio,Alloggio a Perugia,"Uscire, Guardare serie TV, film o anime",122,122 196,
205,19,Maschio,Faccio il pendolare,"Programmare, Giocare ai Videgames, Guardare serie TV, film o anime",201,201,201
107,20,Femmina,Faccio il pendolare,"Praticare Sport, Leggere fumetti, Guardare serie TV, film o anime",144,144,144
99,22,Maschio,Faccio il pendolare,"Programmare, Giocare ai Videgames, Guardare serie TV, film o anime",164,164,164
164,20,Femmina,Alloggio a Perugia,"Giocare ai Videgames, Leggere libri, Leggere fumetti, Guardare serie TV, film o anime",99,99 178,99
130,28,Maschio,Faccio il pendolare,"Giocare ai Videgames, Leggere libri, Leggere fumetti, Guardare serie TV, film o anime",,,
108,19,Maschio,Faccio il pendolare,"Programmare, Giocare ai Videgames, Uscire, Guardare serie TV, film o anime",178 134 201,178 134,134 201
196,20,Maschio,Alloggio a Perugia,"Programmare, Giocare ai Videgames, Praticare Sport, Guardare serie TV, film o anime",,122 136,122 136
178,19,Femmina,Faccio il pendolare,"Programmare, Leggere libri",,164,
179,19,Maschio,Alloggio a Perugia,"Programmare, Giocare ai Videgames, Praticare Sport, Guardare serie TV, film o anime",,,
187,20,Maschio,Faccio il pendolare,"Giocare ai Videgames, Praticare Sport, Uscire",118 201 205,118,
185,19,Maschio,Faccio il pendolare,"Programmare, Giocare ai Videgames, Praticare Sport, Leggere fumetti, Guardare serie TV, film o anime, Disegnare",134,,
215,22,Maschio,Alloggio a Perugia,"Giocare ai Videgames, Leggere fumetti, Guardare serie TV, film o anime",,,
155,19,Maschio,Faccio il pendolare,"Programmare, Uscire",,,
157,19,Maschio,Faccio il pendolare,"Giocare ai Videgames, Uscire, Leggere libri, Leggere fumetti, Guardare serie TV, film o anime",,,
200,19,Maschio,Faccio il pendolare,Giocare ai Videgames,111 197,111 197,
118,19,Maschio,Faccio il pendolare,"Programmare, Uscire, Guardare serie TV, film o anime",205 201 187,205 187,205 187 201
111,19,Maschio,Faccio il pendolare,"Praticare Sport, Uscire, Leggere libri, Guardare serie TV, film o anime",200 197,,200 197
160,19,Maschio,Faccio il pendolare,Praticare Sport,,,
191,20,Femmina,Alloggio a Perugia,"Guardare serie TV, film o anime",,,
165,18,Maschio,Alloggio a Perugia,"Programmare, Giocare ai Videgames, Uscire, Leggere libri, Leggere fumetti, Guardare serie TV, film o anime",170,170,170
115,19,Femmina,Alloggio a Perugia,"Uscire, Leggere libri, Guardare serie TV, film o anime",134 200 197 136 111 215 83 212 175 ,134 197 136 212 175 ,134 197 136 212 175
173,40,Maschio,Alloggio a Perugia,"Programmare, Leggere libri",,,
181,21,Maschio,Faccio il pendolare,"Programmare, Giocare ai Videgames, Leggere libri, Guardare serie TV, film o anime",,,
151,20,Maschio,Faccio il pendolare,"Programmare, Giocare ai Videgames, Praticare Sport, Uscire, Guardare serie TV, film o anime",,,
152,20,Maschio,Alloggio a Perugia,"Giocare ai Videgames, Pianoforte",,,
194,20,Femmina,Faccio il pendolare,"Uscire, Leggere libri, Leggere fumetti, Guardare serie TV, film o anime",,,
180,19,Femmina,Faccio il pendolare,"Guardare serie TV, film o anime",178,178,178
120,19,Maschio,Faccio il pendolare,"Giocare ai Videgames, Uscire, Leggere fumetti",,,202
114,20,Maschio,Alloggio a Perugia,"Giocare ai Videgames, Praticare Sport, Uscire, Guardare serie TV, film o anime",,134 136 215 83 212 115,134 136 215 83 212 115
